[2026-01-16 22:15:54.946] V:0.924V | I:-0.000A | mAh:-0.01
[2026-01-16 22:19:00.432] V:3.632V | I:0.584A | mAh:26.11
[2026-01-16 22:19:01.429] V:3.628V | I:0.584A | mAh:26.27
[2026-01-16 22:19:02.425] V:3.632V | I:0.584A | mAh:26.43
[2026-01-16 22:19:03.426] V:3.636V | I:0.584A | mAh:26.59
[2026-01-16 22:19:04.439] V:3.636V | I:0.584A | mAh:26.76
[2026-01-16 22:19:05.436] V:3.636V | I:0.584A | mAh:26.92
[2026-01-16 22:19:06.434] V:3.636V | I:0.583A | mAh:27.08
[2026-01-16 22:19:07.432] V:3.640V | I:0.583A | mAh:27.24
[2026-01-16 22:19:08.446] V:3.636V | I:0.584A | mAh:27.41
[2026-01-16 22:19:09.444] V:3.640V | I:0.583A | mAh:27.57
[2026-01-16 22:19:10.452] V:3.640V | I:0.584A | mAh:27.73
[2026-01-16 22:19:11.448] V:3.644V | I:0.583A | mAh:27.89
[2026-01-16 22:19:12.445] V:3.644V | I:0.584A | mAh:28.06
[2026-01-16 22:19:13.444] V:3.644V | I:0.584A | mAh:28.22
[2026-01-16 22:19:14.455] V:3.644V | I:0.584A | mAh:28.38
[2026-01-16 22:19:15.448] V:3.648V | I:0.584A | mAh:28.54
[2026-01-16 22:19:16.460] V:3.648V | I:0.583A | mAh:28.71
[2026-01-16 22:19:17.455] V:3.644V | I:0.583A | mAh:28.87
[2026-01-16 22:19:18.465] V:3.644V | I:0.583A | mAh:29.03
[2026-01-16 22:19:19.469] V:3.648V | I:0.583A | mAh:29.19
[2026-01-16 22:19:20.467] V:3.652V | I:0.583A | mAh:29.36
[2026-01-16 22:19:21.464] V:3.652V | I:0.583A | mAh:29.52
[2026-01-16 22:19:22.462] V:3.648V | I:0.583A | mAh:29.68
[2026-01-16 22:19:23.473] V:3.652V | I:0.583A | mAh:29.84
[2026-01-16 22:19:24.478] V:3.656V | I:0.583A | mAh:30.01
[2026-01-16 22:19:25.474] V:3.660V | I:0.583A | mAh:30.17
[2026-01-16 22:19:26.471] V:3.656V | I:0.583A | mAh:30.33
[2026-01-16 22:19:27.472] V:3.652V | I:0.583A | mAh:30.49
[2026-01-16 22:19:28.488] V:3.652V | I:0.583A | mAh:30.65
[2026-01-16 22:19:29.483] V:3.660V | I:0.583A | mAh:30.82
[2026-01-16 22:19:30.479] V:3.656V | I:0.583A | mAh:30.98
[2026-01-16 22:19:31.482] V:3.660V | I:0.583A | mAh:31.14
[2026-01-16 22:19:32.484] V:3.664V | I:0.583A | mAh:31.30
[2026-01-16 22:19:33.494] V:3.664V | I:0.583A | mAh:31.47
[2026-01-16 22:19:34.487] V:3.660V | I:0.583A | mAh:31.63
[2026-01-16 22:19:35.496] V:3.664V | I:0.583A | mAh:31.79
[2026-01-16 22:19:36.494] V:3.664V | I:0.583A | mAh:31.95
[2026-01-16 22:19:37.505] V:3.664V | I:0.583A | mAh:32.12
[2026-01-16 22:19:38.505] V:3.664V | I:0.583A | mAh:32.28
[2026-01-16 22:19:39.500] V:3.668V | I:0.583A | mAh:32.44
[2026-01-16 22:19:40.499] V:3.668V | I:0.583A | mAh:32.60
[2026-01-16 22:19:41.508] V:3.672V | I:0.583A | mAh:32.76
[2026-01-16 22:19:42.505] V:3.672V | I:0.583A | mAh:32.93
[2026-01-16 22:19:43.518] V:3.668V | I:0.583A | mAh:33.09
[2026-01-16 22:19:44.511] V:3.672V | I:0.583A | mAh:33.25
[2026-01-16 22:19:45.507] V:3.672V | I:0.583A | mAh:33.41
[2026-01-16 22:19:46.510] V:3.676V | I:0.583A | mAh:33.58
[2026-01-16 22:19:47.524] V:3.672V | I:0.583A | mAh:33.74
[2026-01-16 22:19:48.517] V:3.672V | I:0.583A | mAh:33.90
[2026-01-16 22:19:49.526] V:3.676V | I:0.583A | mAh:34.06
[2026-01-16 22:19:50.518] V:3.676V | I:0.582A | mAh:34.22
[2026-01-16 22:19:51.527] V:3.676V | I:0.583A | mAh:34.39
[2026-01-16 22:19:52.523] V:3.676V | I:0.583A | mAh:34.55
[2026-01-16 22:19:53.534] V:3.680V | I:0.583A | mAh:34.71
[2026-01-16 22:19:54.533] V:3.680V | I:0.582A | mAh:34.87
[2026-01-16 22:19:55.529] V:3.680V | I:0.583A | mAh:35.04
[2026-01-16 22:19:56.530] V:3.684V | I:0.582A | mAh:35.20
[2026-01-16 22:19:57.542] V:3.680V | I:0.583A | mAh:35.36
[2026-01-16 22:19:58.547] V:3.684V | I:0.582A | mAh:35.52
[2026-01-16 22:19:59.542] V:3.684V | I:0.583A | mAh:35.68
[2026-01-16 22:20:00.540] V:3.684V | I:0.583A | mAh:35.85
[2026-01-16 22:20:01.552] V:3.684V | I:0.583A | mAh:36.01
[2026-01-16 22:20:02.549] V:3.684V | I:0.582A | mAh:36.17
[2026-01-16 22:20:03.544] V:3.688V | I:0.582A | mAh:36.33
[2026-01-16 22:20:04.556] V:3.688V | I:0.582A | mAh:36.49
[2026-01-16 22:20:05.554] V:3.688V | I:0.582A | mAh:36.66
[2026-01-16 22:20:06.552] V:3.684V | I:0.582A | mAh:36.82
[2026-01-16 22:20:07.565] V:3.688V | I:0.582A | mAh:36.98
[2026-01-16 22:20:08.561] V:3.692V | I:0.583A | mAh:37.14
[2026-01-16 22:20:09.562] V:3.692V | I:0.582A | mAh:37.31
[2026-01-16 22:20:10.559] V:3.688V | I:0.583A | mAh:37.47
[2026-01-16 22:20:11.572] V:3.692V | I:0.582A | mAh:37.63
[2026-01-16 22:20:12.567] V:3.692V | I:0.582A | mAh:37.79
[2026-01-16 22:20:13.564] V:3.692V | I:0.582A | mAh:37.95
[2026-01-16 22:20:14.577] V:3.696V | I:0.582A | mAh:38.12
[2026-01-16 22:20:15.572] V:3.700V | I:0.582A | mAh:38.28
[2026-01-16 22:20:16.569] V:3.696V | I:0.582A | mAh:38.44
[2026-01-16 22:20:17.577] V:3.700V | I:0.582A | mAh:38.60
[2026-01-16 22:20:18.572] V:3.700V | I:0.582A | mAh:38.76
[2026-01-16 22:20:19.584] V:3.696V | I:0.582A | mAh:38.93
[2026-01-16 22:20:20.581] V:3.700V | I:0.582A | mAh:39.09
[2026-01-16 22:20:21.580] V:3.700V | I:0.582A | mAh:39.25
[2026-01-16 22:20:22.593] V:3.700V | I:0.582A | mAh:39.41
[2026-01-16 22:20:23.588] V:3.704V | I:0.582A | mAh:39.57
[2026-01-16 22:20:24.600] V:3.704V | I:0.582A | mAh:39.74
[2026-01-16 22:20:25.591] V:3.708V | I:0.582A | mAh:39.90
[2026-01-16 22:20:26.591] V:3.704V | I:0.582A | mAh:40.06
[2026-01-16 22:20:27.594] V:3.704V | I:0.582A | mAh:40.22
[2026-01-16 22:20:28.604] V:3.704V | I:0.582A | mAh:40.38
[2026-01-16 22:20:29.604] V:3.708V | I:0.582A | mAh:40.55
[2026-01-16 22:20:30.602] V:3.704V | I:0.582A | mAh:40.71
[2026-01-16 22:20:31.602] V:3.708V | I:0.582A | mAh:40.87
[2026-01-16 22:20:32.614] V:3.708V | I:0.582A | mAh:41.03
[2026-01-16 22:20:33.612] V:3.712V | I:0.581A | mAh:41.19
[2026-01-16 22:20:34.611] V:3.708V | I:0.582A | mAh:41.36
[2026-01-16 22:20:35.610] V:3.712V | I:0.582A | mAh:41.52
[2026-01-16 22:20:36.609] V:3.708V | I:0.582A | mAh:41.68
[2026-01-16 22:20:37.623] V:3.712V | I:0.582A | mAh:41.84
[2026-01-16 22:20:38.623] V:3.716V | I:0.582A | mAh:42.00
[2026-01-16 22:20:39.623] V:3.716V | I:0.582A | mAh:42.17
[2026-01-16 22:20:40.618] V:3.712V | I:0.582A | mAh:42.33
[2026-01-16 22:20:41.633] V:3.716V | I:0.582A | mAh:42.49
[2026-01-16 22:20:42.629] V:3.716V | I:0.582A | mAh:42.65
[2026-01-16 22:20:43.626] V:3.716V | I:0.582A | mAh:42.81
[2026-01-16 22:20:44.629] V:3.716V | I:0.582A | mAh:42.97
[2026-01-16 22:20:45.640] V:3.720V | I:0.582A | mAh:43.14
[2026-01-16 22:20:46.641] V:3.720V | I:0.582A | mAh:43.30
[2026-01-16 22:20:47.642] V:3.724V | I:0.582A | mAh:43.46
[2026-01-16 22:20:48.641] V:3.724V | I:0.582A | mAh:43.62
[2026-01-16 22:20:49.638] V:3.724V | I:0.582A | mAh:43.78
[2026-01-16 22:20:50.638] V:3.724V | I:0.582A | mAh:43.95
[2026-01-16 22:20:51.650] V:3.720V | I:0.582A | mAh:44.11
[2026-01-16 22:20:52.647] V:3.724V | I:0.582A | mAh:44.27
[2026-01-16 22:20:53.643] V:3.732V | I:0.582A | mAh:44.43
[2026-01-16 22:20:54.659] V:3.724V | I:0.582A | mAh:44.59
[2026-01-16 22:20:55.651] V:3.724V | I:0.582A | mAh:44.76
[2026-01-16 22:20:56.660] V:3.732V | I:0.581A | mAh:44.92
[2026-01-16 22:20:57.653] V:3.732V | I:0.582A | mAh:45.08
[2026-01-16 22:20:58.657] V:3.732V | I:0.582A | mAh:45.24
[2026-01-16 22:20:59.663] V:3.732V | I:0.582A | mAh:45.40
[2026-01-16 22:21:00.662] V:3.728V | I:0.582A | mAh:45.57
[2026-01-16 22:21:01.661] V:3.728V | I:0.581A | mAh:45.73
[2026-01-16 22:21:02.673] V:3.732V | I:0.581A | mAh:45.89
[2026-01-16 22:21:03.672] V:3.724V | I:0.582A | mAh:46.05
[2026-01-16 22:21:04.668] V:3.732V | I:0.582A | mAh:46.21
[2026-01-16 22:21:05.669] V:3.736V | I:0.581A | mAh:46.37
[2026-01-16 22:21:06.677] V:3.732V | I:0.581A | mAh:46.54
[2026-01-16 22:21:07.675] V:3.736V | I:0.581A | mAh:46.70
[2026-01-16 22:21:08.675] V:3.728V | I:0.582A | mAh:46.86
[2026-01-16 22:21:09.675] V:3.732V | I:0.581A | mAh:47.02
[2026-01-16 22:21:10.686] V:3.736V | I:0.581A | mAh:47.18
[2026-01-16 22:21:11.682] V:3.736V | I:0.581A | mAh:47.35
[2026-01-16 22:21:12.685] V:3.736V | I:0.581A | mAh:47.51
[2026-01-16 22:21:13.692] V:3.740V | I:0.581A | mAh:47.67
[2026-01-16 22:21:14.693] V:3.740V | I:0.581A | mAh:47.83
[2026-01-16 22:21:15.688] V:3.736V | I:0.582A | mAh:47.99
[2026-01-16 22:21:16.701] V:3.732V | I:0.581A | mAh:48.16
[2026-01-16 22:21:17.690] V:3.740V | I:0.581A | mAh:48.32
[2026-01-16 22:21:18.695] V:3.744V | I:0.581A | mAh:48.48
[2026-01-16 22:21:19.696] V:3.740V | I:0.581A | mAh:48.64
[2026-01-16 22:21:20.701] V:3.744V | I:0.581A | mAh:48.80
[2026-01-16 22:21:21.713] V:3.740V | I:0.581A | mAh:48.96
[2026-01-16 22:21:22.708] V:3.740V | I:0.581A | mAh:49.13
[2026-01-16 22:21:23.712] V:3.740V | I:0.581A | mAh:49.29
[2026-01-16 22:21:24.715] V:3.744V | I:0.581A | mAh:49.45
[2026-01-16 22:21:25.707] V:3.748V | I:0.581A | mAh:49.61
[2026-01-16 22:21:26.710] V:3.752V | I:0.581A | mAh:49.77
[2026-01-16 22:21:27.724] V:3.752V | I:0.581A | mAh:49.93
[2026-01-16 22:21:28.715] V:3.744V | I:0.581A | mAh:50.10
[2026-01-16 22:21:29.719] V:3.748V | I:0.581A | mAh:50.26
[2026-01-16 22:21:30.716] V:3.748V | I:0.581A | mAh:50.42
[2026-01-16 22:21:31.725] V:3.744V | I:0.581A | mAh:50.58
[2026-01-16 22:21:32.731] V:3.752V | I:0.581A | mAh:50.74
[2026-01-16 22:21:33.725] V:3.756V | I:0.581A | mAh:50.91
[2026-01-16 22:21:34.726] V:3.752V | I:0.581A | mAh:51.07
[2026-01-16 22:21:35.728] V:3.752V | I:0.581A | mAh:51.23
[2026-01-16 22:21:36.740] V:3.752V | I:0.581A | mAh:51.39
[2026-01-16 22:21:37.739] V:3.752V | I:0.581A | mAh:51.55
[2026-01-16 22:21:38.733] V:3.748V | I:0.581A | mAh:51.71
[2026-01-16 22:21:39.745] V:3.756V | I:0.581A | mAh:51.88
[2026-01-16 22:21:40.741] V:3.744V | I:0.581A | mAh:52.04
[2026-01-16 22:21:41.753] V:3.752V | I:0.581A | mAh:52.20
[2026-01-16 22:21:42.741] V:3.760V | I:0.581A | mAh:52.36
[2026-01-16 22:21:43.749] V:3.744V | I:0.581A | mAh:52.52
[2026-01-16 22:21:44.747] V:3.752V | I:0.581A | mAh:52.68
[2026-01-16 22:21:45.755] V:3.756V | I:0.581A | mAh:52.85
[2026-01-16 22:21:46.753] V:3.760V | I:0.581A | mAh:53.01
[2026-01-16 22:21:47.759] V:3.760V | I:0.581A | mAh:53.17
[2026-01-16 22:21:48.760] V:3.760V | I:0.581A | mAh:53.33
[2026-01-16 22:21:49.760] V:3.768V | I:0.581A | mAh:53.49
[2026-01-16 22:21:50.767] V:3.768V | I:0.581A | mAh:53.65
